GX,GY,GZ,AX,AY,AZ,IDX
x: -021.382260 , y: +049.476519 , z: -033.557252, ax: 446 , ay: -326 , az: -2816, index: 18
x: -021.339298 , y: +049.981802 , z: -033.529038, ax: 424 , ay: -342 , az: -3350, index: 18
x: -021.284947 , y: +050.345160 , z: -033.498504, ax: 208 , ay: -506 , az: -3338, index: 18
x: -021.330137 , y: +050.512489 , z: -033.205374, ax: -220 , ay: -452 , az: -3396, index: 18
x: -021.386931 , y: +050.652947 , z: -032.721099, ax: 110 , ay: -334 , az: -2900, index: 18
x: -021.394870 , y: +050.785466 , z: -032.336366, ax: 614 , ay: -440 , az: -3020, index: 18
x: -021.353954 , y: +050.931420 , z: -032.252702, ax: 660 , ay: -500 , az: -2982, index: 18
x: -021.283115 , y: +051.053557 , z: -032.398046, ax: 54 , ay: -514 , az: -2912, index: 18
x: -021.197618 , y: +051.212947 , z: -032.627664, ax: -274 , ay: -668 , az: -2788, index: 18
x: -021.176244 , y: +051.319206 , z: -032.693008, ax: -674 , ay: -804 , az: -2884, index: 18
x: -021.240366 , y: +051.394931 , z: -032.598351, ax: -426 , ay: -724 , az: -2878, index: 18
x: -021.314107 , y: +051.468672 , z: -032.494473, ax: -236 , ay: -644 , az: -2750, index: 18
x: -021.365405 , y: +051.562107 , z: -032.494473, ax: 38 , ay: -470 , az: -2518, index: 18
x: -021.377618 , y: +051.635389 , z: -032.598901, ax: -30 , ay: -572 , az: -2616, index: 18
x: -021.389832 , y: +051.737985 , z: -032.736916, ax: -114 , ay: -544 , az: -2706, index: 18
x: -021.429527 , y: +051.792947 , z: -032.828519, ax: -300 , ay: -530 , az: -2484, index: 18
x: -021.496214 , y: +051.782687 , z: -032.853527, ax: -224 , ay: -526 , az: -2476, index: 18
x: -021.562779 , y: +051.824214 , z: -032.956122, ax: 92 , ay: -460 , az: -2450, index: 18
x: -021.614076 , y: +051.881618 , z: -033.110015, ax: -88 , ay: -278 , az: -2442, index: 18
x: -021.631176 , y: +051.877344 , z: -033.183298, ax: -424 , ay: -34 , az: -2150, index: 18
x: -021.607359 , y: +051.837649 , z: -033.166809, ax: -398 , ay: -240 , az: -2482, index: 18
x: -021.595145 , y: +051.772916 , z: -033.103908, ax: -458 , ay: -468 , az: -2576, index: 18
x: -021.592092 , y: +051.776580 , z: -033.093527, ax: -442 , ay: -544 , az: -2674, index: 18
x: -021.579267 , y: +051.807359 , z: -033.120458, ax: -632 , ay: -384 , az: -2656, index: 18
x: -021.554840 , y: +051.867817 , z: -033.123511, ax: -684 , ay: -510 , az: -2620, index: 18
x: -021.564000 , y: +051.917893 , z: -033.062443, ax: -542 , ay: -548 , az: -2680, index: 18
x: -021.587084 , y: +051.935847 , z: -032.943176, ax: -460 , ay: -522 , az: -2486, index: 18
x: -021.591359 , y: +051.976763 , z: -032.922412, ax: -146 , ay: -476 , az: -2404, index: 18
x: -021.564489 , y: +052.031725 , z: -033.006687, ax: -142 , ay: -492 , az: -2338, index: 18
x: -021.530504 , y: +052.040061 , z: -033.035542, ax: -434 , ay: -530 , az: -2484, index: 18
x: -021.547603 , y: +052.040061 , z: -032.962260, ax: -560 , ay: -520 , az: -2532, index: 18
x: -021.582412 , y: +052.106626 , z: -032.895695, ax: -304 , ay: -466 , az: -2386, index: 18
x: -021.579359 , y: +052.154260 , z: -032.909740, ax: 28 , ay: -378 , az: -2290, index: 18
x: -021.519511 , y: +052.185405 , z: -032.994626, ax: -196 , ay: -370 , az: -2298, index: 18
x: -021.472702 , y: +052.185405 , z: -032.990779, ax: -718 , ay: -610 , az: -2500, index: 18
x: -021.496519 , y: +052.194565 , z: -032.849099, ax: -692 , ay: -740 , az: -2530, index: 18
x: -021.561863 , y: +052.229374 , z: -032.700702, ax: -394 , ay: -688 , az: -2458, index: 18
x: -021.629191 , y: +052.309527 , z: -032.606443, ax: -358 , ay: -604 , az: -2370, index: 18
x: -021.661557 , y: +052.395023 , z: -032.579573, ax: -218 , ay: -672 , az: -2362, index: 18
x: -021.721405 , y: +052.512275 , z: -032.589954, ax: -276 , ay: -792 , az: -2538, index: 18
x: -021.824000 , y: +052.626473 , z: -032.484916, ax: -296 , ay: -634 , az: -2322, index: 18
x: -021.966351 , y: +052.665588 , z: -032.257924, ax: 4 , ay: -628 , az: -2248, index: 18
x: -022.108489 , y: +052.701557 , z: -032.181344, ax: 324 , ay: -476 , az: -2174, index: 18
x: -022.172611 , y: +052.762626 , z: -032.196000, ax: 82 , ay: -234 , az: -2110, index: 18
x: -022.190931 , y: +052.719267 , z: -032.126382, ax: -116 , ay: -396 , az: -2248, index: 18
x: -022.200702 , y: +052.678962 , z: -032.105008, ax: -230 , ay: -464 , az: -2310, index: 18
x: -022.217374 , y: +052.675115 , z: -032.138992, ax: -480 , ay: -362 , az: -2468, index: 18
x: -022.213099 , y: +052.661679 , z: -032.107237, ax: -524 , ay: -370 , az: -2318, index: 18
x: -022.192336 , y: +052.645802 , z: -032.060214, ax: -452 , ay: -454 , az: -2322, index: 18
x: -022.148092 , y: +052.668244 , z: -032.105099, ax: -370 , ay: -550 , az: -2354, index: 18
x: -022.088244 , y: +052.702443 , z: -032.200977, ax: -594 , ay: -594 , az: -2534, index: 18
x: -022.050382 , y: +052.740305 , z: -032.236397, ax: -756 , ay: -544 , az: -2514, index: 18
x: -022.036916 , y: +052.778137 , z: -032.151115, ax: -470 , ay: -630 , az: -2476, index: 18
x: -022.028366 , y: +052.792183 , z: -032.088824, ax: -146 , ay: -694 , az: -2360, index: 18
x: -022.022260 , y: +052.816611 , z: -032.069893, ax: -250 , ay: -680 , az: -2430, index: 18
x: -022.022260 , y: +052.811481 , z: -032.012183, ax: -552 , ay: -692 , az: -2428, index: 18
x: -022.025924 , y: +052.833466 , z: -031.943786, ax: -492 , ay: -648 , az: -2254, index: 18


x: -023.494168 , y: +051.572122 , z: -032.299206, ax: 2728 , ay: -332 , az: -3764, index: 18
x: -023.450809 , y: +050.899145 , z: -031.744092, ax: 4432 , ay: -966 , az: -3964, index: 18
x: -023.348214 , y: +050.034779 , z: -031.519664, ax: 4174 , ay: -988 , az: -4184, index: 18
x: -023.210198 , y: +049.264092 , z: -031.701038, ax: 2400 , ay: 1980 , az: -5104, index: 18
x: -022.987908 , y: +047.591420 , z: -031.330962, ax: 2538 , ay: -136 , az: -3716, index: 18
x: -022.641649 , y: +045.548061 , z: -030.891878, ax: 942 , ay: -132 , az: -4030, index: 18
x: -022.198290 , y: +043.557221 , z: -030.470504, ax: -474 , ay: -402 , az: -4128, index: 18
x: -021.732122 , y: +041.523908 , z: -030.020366, ax: -1888 , ay: -636 , az: -4240, index: 18
x: -021.310748 , y: +039.768183 , z: -029.583725, ax: -3060 , ay: -844 , az: -4332, index: 18
x: -020.897160 , y: +038.189496 , z: -028.980977, ax: -4150 , ay: -1074 , az: -4420, index: 18
x: -020.573344 , y: +036.717893 , z: -028.119817, ax: -4656 , ay: -1228 , az: -4572, index: 18
x: -020.363023 , y: +035.380305 , z: -027.225954, ax: -4930 , ay: -1432 , az: -4666, index: 18
x: -020.255542 , y: +034.439847 , z: -026.629313, ax: -6006 , ay: -1320 , az: -4620, index: 18
x: -020.258748 , y: +034.046137 , z: -026.233038, ax: -7602 , ay: -1338 , az: -4498, index: 18
x: -020.319023 , y: +034.458443 , z: -025.952824, ax: -8304 , ay: -1458 , az: -4036, index: 18
x: -020.399817 , y: +035.595328 , z: -025.782901, ax: -7892 , ay: -1332 , az: -3430, index: 18
x: -020.485740 , y: +037.252244 , z: -025.611053, ax: -7056 , ay: -1406 , az: -2550, index: 18
x: -020.730687 , y: +039.675420 , z: -025.229527, ax: -4908 , ay: -1874 , az: -812, index: 18
x: -021.193588 , y: +043.032366 , z: -025.109221, ax: 1708 , ay: -2990 , az: 1858, index: 18
x: -021.907908 , y: +046.411603 , z: -025.334931, ax: 11408 , ay: -3170 , az: 2430, index: 18
x: -022.460580 , y: +046.947176 , z: -025.713557, ax: 15026 , ay: -1762 , az: 4364, index: 18
x: -022.251542 , y: +045.687817 , z: -026.472763, ax: 7504 , ay: -314 , az: 3396, index: 18
x: -021.592611 , y: +044.387664 , z: -027.213527, ax: 1734 , ay: -338 , az: -384, index: 18
x: -020.950168 , y: +043.187664 , z: -027.703908, ax: -980 , ay: -1000 , az: -2770, index: 18
x: -020.602687 , y: +042.295450 , z: -027.958565, ax: -1870 , ay: -1466 , az: -4014, index: 18
x: -020.401344 , y: +041.617679 , z: -028.170168, ax: -1520 , ay: -1776 , az: -4080, index: 18
x: -020.269893 , y: +040.850137 , z: -028.347145, ax: -2046 , ay: -1712 , az: -4278, index: 18
x: -020.194229 , y: +040.147359 , z: -028.411267, ax: -3214 , ay: -1458 , az: -4376, index: 18
x: -020.133313 , y: +039.731847 , z: -028.583756, ax: -3142 , ay: -1560 , az: -4638, index: 18
x: -020.053924 , y: +039.660397 , z: -028.990473, ax: -2760 , ay: -1554 , az: -4882, index: 18
x: -019.971847 , y: +039.680275 , z: -029.393160, ax: -2760 , ay: -1604 , az: -4830, index: 19
x: -019.968000 , y: +039.761069 , z: -029.686840, ax: -2618 , ay: -1590 , az: -4914, index: 19
x: -020.045588 , y: +040.015634 , z: -029.985649, ax: -2400 , ay: -1162 , az: -4652, index: 18
x: -020.061618 , y: +040.323420 , z: -030.163908, ax: -2058 , ay: -780 , az: -4338, index: 18
x: -019.972458 , y: +040.560977 , z: -030.258565, ax: -1602 , ay: -1110 , az: -4490, index: 19
x: -019.900000 , y: +040.957252 , z: -030.454137, ax: -1210 , ay: -1562 , az: -4570, index: 19
x: -019.976305 , y: +041.396489 , z: -030.629191, ax: -954 , ay: -1492 , az: -4648, index: 19
x: -020.103939 , y: +041.706718 , z: -030.657282, ax: -1206 , ay: -784 , az: -4010, index: 18
x: -020.121893 , y: +041.985649 , z: -030.588031, ax: -1334 , ay: -724 , az: -3902, index: 18
x: -020.018656 , y: +042.241496 , z: -030.542504, ax: -1292 , ay: -1264 , az: -4318, index: 18
x: -020.018656 , y: +042.533405 , z: -030.552885, ax: -1506 , ay: -1830 , az: -4514, index: 18
x: -020.175756 , y: +043.013679 , z: -030.547115, ax: -1418 , ay: -1614 , az: -4378, index: 18
x: -020.399542 , y: +043.468305 , z: -030.470168, ax: -876 , ay: -968 , az: -4004, index: 18
x: -020.561374 , y: +043.862198 , z: -030.502534, ax: -632 , ay: -826 , az: -3908, index: 18
x: -020.679359 , y: +044.307847 , z: -030.614748, ax: -690 , ay: -790 , az: -3728, index: 18
x: -020.766076 , y: +044.696855 , z: -030.669099, ax: -518 , ay: -708 , az: -3440, index: 18
x: -020.790504 , y: +045.013191 , z: -030.733221, ax: -196 , ay: -700 , az: -3410, index: 18
x: -020.777038 , y: +045.363298 , z: -030.906992, ax: -258 , ay: -838 , az: -3526, index: 18
x: -020.777038 , y: +045.644824 , z: -031.049893, ax: -480 , ay: -814 , az: -3590, index: 18
x: -020.770931 , y: +045.878718 , z: -031.101191, ax: -516 , ay: -846 , az: -3534, index: 18
x: -020.766443 , y: +046.101863 , z: -031.101191, ax: -406 , ay: -940 , az: -3552, index: 18
x: -020.761557 , y: +046.298504 , z: -031.183634, ax: -76 , ay: -1036 , az: -3400, index: 18
x: -020.778046 , y: +046.487817 , z: -031.366229, ax: -212 , ay: -1098 , az: -3538, index: 18
x: -020.828702 , y: +046.645557 , z: -031.409832, ax: -808 , ay: -1018 , az: -3582, index: 18
x: -020.894656 , y: +046.718229 , z: -031.241282, ax: -622 , ay: -1068 , az: -3394, index: 18
x: -020.972885 , y: +046.793252 , z: -031.125863, ax: -106 , ay: -1202 , az: -3266, index: 18
x: -021.015634 , y: +046.928824 , z: -031.246779, ax: 96 , ay: -1092 , az: -3264, index: 18
x: -021.056031 , y: +047.026931 , z: -031.429527, ax: -364 , ay: -1008 , az: -3250, index: 18
x: -021.112824 , y: +047.075176 , z: -031.447237, ax: -864 , ay: -822 , az: -3092, index: 18
x: -021.212977 , y: +047.107542 , z: -031.367237, ax: -742 , ay: -970 , az: -3278, index: 18
x: -021.359176 , y: +047.147939 , z: -031.344153, ax: -256 , ay: -1070 , az: -3218, index: 18
x: -021.522840 , y: +047.181527 , z: -031.374076, ax: -520 , ay: -944 , az: -3106, index: 18
x: -021.695328 , y: +047.296305 , z: -031.508733, ax: -578 , ay: -812 , az: -3008, index: 18
x: -021.860214 , y: +047.436763 , z: -031.639420, ax: -578 , ay: -670 , az: -3118, index: 18
x: -021.959145 , y: +047.522870 , z: -031.722473, ax: -662 , ay: -516 , az: -2962, index: 18
x: -022.014931 , y: +047.592122 , z: -031.726962, ax: -800 , ay: -602 , az: -3066, index: 18
x: -022.036916 , y: +047.690443 , z: -031.717802, ax: -504 , ay: -770 , az: -2962, index: 18
x: -022.066840 , y: +047.728305 , z: -031.735511, ax: -300 , ay: -844 , az: -3106, index: 18
x: -022.098595 , y: +047.763115 , z: -031.789863, ax: -454 , ay: -810 , az: -2980, index: 18
